Comunidades y ciudades autónomas;País de residencia;Meses;Total
Total;Total;Total;78.148.452
Total;Total;Enero;4.293.216
Total;Total;Febrero;4.232.211
Total;Total;Marzo;4.635.353
Total;Total;Abril;5.599.062
Total;Total;Mayo;5.857.644
Total;Total;Junio;7.719.792
Total;Total;Julio;10.845.761
Total;Total;Agosto;12.373.783
Total;Total;Septiembre;7.950.693
Total;Total;Octubre;6.142.675
Total;Total;Noviembre;4.226.692
Total;Total;Diciembre;4.271.572
Total;Residentes en España;Total;19.582.452
Total;Residentes en España;Enero;650.999
Total;Residentes en España;Febrero;649.497
Total;Residentes en España;Marzo;738.082
Total;Residentes en España;Abril;1.530.402
Total;Residentes en España;Mayo;1.172.680
Total;Residentes en España;Junio;1.985.335
Total;Residentes en España;Julio;3.539.791
Total;Residentes en España;Agosto;4.546.676
Total;Residentes en España;Septiembre;2.079.239
Total;Residentes en España;Octubre;1.073.590
Total;Residentes en España;Noviembre;661.329
Total;Residentes en España;Diciembre;954.832
Total;No residentes en España;Total;58.566.000
Total;No residentes en España;Enero;3.642.217
Total;No residentes en España;Febrero;3.582.714
Total;No residentes en España;Marzo;3.897.271
Total;No residentes en España;Abril;4.068.659
Total;No residentes en España;Mayo;4.684.963
Total;No residentes en España;Junio;5.734.458
Total;No residentes en España;Julio;7.305.970
Total;No residentes en España;Agosto;7.827.107
Total;No residentes en España;Septiembre;5.871.454
Total;No residentes en España;Octubre;5.069.085
Total;No residentes en España;Noviembre;3.565.363
Total;No residentes en España;Diciembre;3.316.739
Total;Unión Europea (sin España);Total;51.108.778
Total;Unión Europea (sin España);Enero;3.034.883
Total;Unión Europea (sin España);Febrero;2.976.519
Total;Unión Europea (sin España);Marzo;3.257.702
Total;Unión Europea (sin España);Abril;3.570.059
Total;Unión Europea (sin España);Mayo;4.197.577
Total;Unión Europea (sin España);Junio;5.078.399
Total;Unión Europea (sin España);Julio;6.433.391
Total;Unión Europea (sin España);Agosto;7.110.058
Total;Unión Europea (sin España);Septiembre;5.245.343
Total;Unión Europea (sin España);Octubre;4.419.362
Total;Unión Europea (sin España);Noviembre;3.010.454
Total;Unión Europea (sin España);Diciembre;2.775.032
Total;Alemania;Total;7.974.834
Total;Alemania;Enero;515.073
Total;Alemania;Febrero;505.970
Total;Alemania;Marzo;531.846
Total;Alemania;Abril;549.648
Total;Alemania;Mayo;626.413
Total;Alemania;Junio;750.967
Total;Alemania;Julio;918.740
Total;Alemania;Agosto;895.404
Total;Alemania;Septiembre;848.745
Total;Alemania;Octubre;833.547
Total;Alemania;Noviembre;533.418
Total;Alemania;Diciembre;465.062
Total;Austria;Total;250.092
Total;Austria;Enero;18.568
Total;Austria;Febrero;22.578
Total;Austria;Marzo;18.935
Total;Austria;Abril;20.791
Total;Austria;Mayo;19.382
Total;Austria;Junio;17.715
Total;Austria;Julio;24.706
Total;Austria;Agosto;25.598
Total;Austria;Septiembre;24.006
Total;Austria;Octubre;23.173
Total;Austria;Noviembre;18.312
Total;Austria;Diciembre;16.328
Total;Bélgica;Total;1.023.608
Total;Bélgica;Enero;67.458
Total;Bélgica;Febrero;65.061
Total;Bélgica;Marzo;69.750
Total;Bélgica;Abril;75.452
Total;Bélgica;Mayo;64.077
Total;Bélgica;Junio;68.687
Total;Bélgica;Julio;197.983
Total;Bélgica;Agosto;120.879
Total;Bélgica;Septiembre;114.688
Total;Bélgica;Octubre;74.713
Total;Bélgica;Noviembre;56.059
Total;Bélgica;Diciembre;48.801
Total;Dinamarca;Total;1.644.965
Total;Dinamarca;Enero;166.812
Total;Dinamarca;Febrero;161.713
Total;Dinamarca;Marzo;178.304
Total;Dinamarca;Abril;117.989
Total;Dinamarca;Mayo;79.352
Total;Dinamarca;Junio;101.342
Total;Dinamarca;Julio;220.693
Total;Dinamarca;Agosto;106.272
Total;Dinamarca;Septiembre;94.343
Total;Dinamarca;Octubre;141.164
Total;Dinamarca;Noviembre;143.731
